"","x"
"1",50428
"2",50429
"3",50430
"4",50431
"5",50432
"6",50433
"7",50434
"8",50435
"9",50436
"10",50437
"11",50438
"12",50439
"13",50440
"14",50441
"15",50442
"16",50443
"17",50444
"18",50445
"19",50446
"20",50447
"21",50448
"22",50449
"23",50450
"24",50451
"25",50452
"26",50453
"27",50454
"28",50455
"29",50456
"30",50457
"31",50458
"32",50459
"33",50460
"34",50461
"35",50462
"36",50463
"37",50464
"38",50465
"39",50466
"40",50467
"41",50468
"42",50469
"43",50470
"44",50471
"45",50472
"46",50473
"47",50474
"48",50475
"49",50476
"50",50477
"51",50478
"52",50479
"53",50480
"54",50481
"55",50482
"56",50483
"57",50484
"58",50485
"59",50486
"60",50487
"61",50488
"62",50489
"63",50490
"64",50891
"65",50892
"66",50893
"67",50894
"68",50895
"69",50896
"70",50897
"71",50898
"72",50899
"73",50900
"74",50901
"75",50902
"76",50903
"77",50904
"78",50905
"79",50906
"80",50907
"81",50908
"82",50909
"83",50910
"84",50911
"85",50912
"86",50913
"87",50914
"88",50915
"89",50916
"90",50917
"91",50918
"92",50919
"93",50920
"94",50921
"95",50922
"96",50923
"97",50924
"98",50925
"99",50926
"100",50927
"101",50928
"102",50929
"103",50930
"104",50931
"105",50932
"106",50933
"107",50934
"108",50935
"109",50936
"110",50937
"111",50938
"112",50939
"113",50940
"114",50941
"115",50942
"116",50943
"117",50944
"118",50945
"119",50946
"120",50947
"121",50948
"122",50949
"123",50950
"124",50951
"125",50952
"126",50953
"127",51354
"128",51355
"129",51356
"130",51357
"131",51358
"132",51359
"133",51360
"134",51361
"135",51362
"136",51363
"137",51364
"138",51365
"139",51366
"140",51367
"141",51368
"142",51369
"143",51370
"144",51371
"145",51372
"146",51373
"147",51374
"148",51375
"149",51376
"150",51377
"151",51378
"152",51379
"153",51380
"154",51381
"155",51382
"156",51383
"157",51384
"158",51385
"159",51386
"160",51387
"161",51388
"162",51389
"163",51390
"164",51391
"165",51392
"166",51393
"167",51394
"168",51395
